CIM10;;"SFMU
SFMU";REGROUPEMENTS CIM10 FEDORU;;
Code;Libéllé CIM;;TYPE URGENCES;CHAPITRE;SOUS CHAPITRE
A00;Choléra;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A000;Choléra à Vibrio cholerae 01, biovar cholerae;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A001;Choléra à Vibrio cholerae 01, biovar El Tor;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A009;Choléra, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A01;Fièvres typhoïde et paratyphoïde;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A010;Fièvre typhoïde;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A011;Paratyphoïde A;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A012;Paratyphoïde B;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A013;Paratyphoïde C;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A014;Paratyphoïde, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A02;Autres salmonelloses;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A020;Entérite à Salmonella;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A021;Sepsis à Salmonella;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A022;Infection localisée à Salmonella;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A028;Autres infections précisées à Salmonella;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A029;Salmonellose, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A03;Shigellose;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A030;Shigellose à Shigella dysenteriae;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A031;Shigellose à Shigella flexneri;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A032;Shigellose à Shigella boydii;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A033;Shigellose à Shigella sonnei;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A038;Autres shigelloses;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A039;Shigellose, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A04;Autres infections intestinales bactériennes;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A040;Infection entéropathogène à Escherichia coli;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A041;Infection entérotoxigène à Escherichia coli;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A042;Infection entéro-invasive à Escherichia coli;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A043;Infection entéro-hémorragique à Escherichia coli;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A044;Autres infections intestinales à Escherichia coli;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A045;Entérite à Campylobacter;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A046;Entérite à Yersinia enterocolitica;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A047;Entérocolite à Clostridium difficile;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A048;Autres infections intestinales bactériennes précisées;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A049;Infection intestinale bactérienne, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A05;Autres intoxications bactériennes d'origine alimentaire;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A050;Intoxication alimentaire à staphylocoques;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A051;Botulisme;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A052;Intoxication alimentaire à Clostridium perfringens [Clostridium welchii];non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A053;Intoxication alimentaire à Vibrio parahaemolyticus;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A054;Intoxication alimentaire à Bacillus cereus;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A058;Autres intoxications bactériennes d'origine alimentaire précisées;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A059;Intoxication bactérienne d'origine alimentaire, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A06;Amibiase;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A060;Dysenterie amibienne (aiguë);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A061;Amibiase intestinale chronique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A062;Colite amibienne non dysentérique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A063;Amoebome (de l'intestin);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A064;Abcès amibien du foie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
A065;Abcès amibien du poumon (J99.8*);non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A066;Abcès amibien du cerveau (G07*);non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A067;Amibiase cutanée;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A068;Autres localisations d'une infection amibienne;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A069;Amibiase, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A07;Autres maladies intestinales à protozoaires;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A070;Balantidiose;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A071;Giardiase [lambliase];non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A072;Cryptosporidiose;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
