"CODE ","REGROUPEMENTS ORUMIPS",,,,,,,,,,,
"CIM10","Code Type Urgences","Libéllé Type Urgences","Code Discipline / Topographie","Libellé Discipline / Topographie","Code Type Pathologie","Libéllé Type de Pathologie",,,,,,
"A010","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A014","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A022","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A047","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A051","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A058","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A060","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A064","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"A080","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A081","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A082","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A090","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A099","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"A150","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"A152","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"A162","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"A170","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A199","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A219","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A230","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A279","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A310","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"A321","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A329","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A33","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A34","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A35","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A379","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO03","Bronchite aiguë et bronchiolite",,,,,
"A38","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS01","Angines"," amygdalites"," rhino-pharyngites"," toux",
"A390","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A403","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO03","Septicémies et sepsis",,,,,,
"A409","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO03","Septicémies et sepsis",,,,,,
"A410","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO03","Septicémies et sepsis",,,,,,
"A419","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO03","Septicémies et sepsis",,,,,,
"A46","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO03","Érysipèle",,,,,,
"A480","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV14","autres patho cardio-vasculaires",,,,,
"A481","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"A483","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A490","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A491","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A498","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A539","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A540","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A542","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A549","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A560","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A561","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A590","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A600","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A630","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A64","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"A692","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A70","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A829","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A838","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A849","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A850","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A851","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A86","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A870","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A871","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A879","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"A90","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A920","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"A923","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
